11-meterplet	?	straffesparksplet
12-skala	?	7-trinsskala
24-7	?	hele tiden;uafbrudt;konstant
45-knallert	?	EU-knallert
7-trinsskala	?	12-skala
A-aktie	NOUN	stamaktie
A-aktien	NOUN	stamaktien
A-aktiens	NOUN	stamaktiens
A-akties	NOUN	stamakties
A-aktierne	NOUN	stamaktierne
A-aktiernes	NOUN	stamaktiernes
A-aktier	NOUN	stamaktier
A-aktiers	NOUN	stamaktiers
abdikation	NOUN	tilbagetræden
abdikations	NOUN	tilbagetrædens
abdomen	?	bagkrop
abebrødtræ	?	baobabtræ;Adansonia digitata
abegilde	?	abefest
abekattestreger	?	narrestreger
aber dabei	NOUN	minus
aber dabeis	NOUN	minus'
abeskøn	?	skæppeskøn
abessinier	NOUN	etiopier
abessinieren	NOUN	etiopieren
abessinierens	NOUN	etiopierens
abessiniers	NOUN	etiopiers
abessinierne	NOUN	etiopierne
abessiniernes	NOUN	etiopiernes
abessiniere	NOUN	etiopiere
abessinieres	NOUN	etiopieres
abnorm	ADJ	sygelig;unormal
abnorme	ADJ	unormale;sygelige
abnormt	ADJ	sygeligt;unormalt
aboriginal	NOUN	aboriginer
aboriginalen	NOUN	aborigineren
aboriginalens	NOUN	aboriginerens
aboriginals	NOUN	aboriginere;aboriginers
aboriginals'	NOUN	aborigineres
aboriginer	NOUN	aboriginal
aborigineren	NOUN	aboriginalen
aboriginerens	NOUN	aboriginalens
aboriginers	NOUN	aboriginals
aboriginere	NOUN	aboriginals
aborigineres	NOUN	aboriginals'
absces	NOUN	byld
abscessen	NOUN	bylden
abscessens	NOUN	byldens
absces'	NOUN	bylds
abscesserne	NOUN	bylderne
abscessernes	NOUN	byldernes
abscesser	NOUN	bylder
abscessers	NOUN	bylders
abscisse	NOUN	x-akse;abscisseakse
abscissen	NOUN	x-aksen;abscisseaksen
abscissens	NOUN	abscisseaksens;x-aksens
abscisses	NOUN	x-akses;abscisseakses
abscisserne	NOUN	x-akserne;abscisseakserne
abscissernes	NOUN	abscisseaksernes;x-aksernes
abscisser	NOUN	abscisseakser;x-akser
abscissers	NOUN	abscisseaksers;x-aksers
abscisseakse	NOUN	x-akse;abscisse
abscisseaksen	NOUN	x-aksen;abscissen
abscisseaksens	NOUN	abscissens;x-aksens
abscisseakses	NOUN	x-akses;abscisses
abscisseakserne	NOUN	abscisserne;x-akserne
abscisseaksernes	NOUN	abscissernes;x-aksernes
abscisseakser	NOUN	abscisser;x-akser
abscisseaksers	NOUN	abscissers;x-aksers
absolut	NOUN	total
absoluttet	NOUN	totallet
absoluttets	NOUN	totallets
absoluts	NOUN	totals
absolutterne	NOUN	totallerne
absolutternes	NOUN	totallernes
absolutter	NOUN	totaller
absolutters	NOUN	totallers
absolut	ADJ	fuldstændig;fuldstændigt;total;totalt
absolutte	ADJ	fuldstændige;totale
absoluthed	?	konsekvens
absolutismen	NOUN	enevælden
absolutismens	NOUN	enevældens
absorption	NOUN	absorbering
absorptionen	NOUN	absorberingen
absorptionens	NOUN	absorberingens
absorptions	NOUN	absorberings
absorptionerne	NOUN	absorberingerne
absorptionernes	NOUN	absorberingernes
absorptioner	NOUN	absorberinger
absorptioners	NOUN	absorberingers
abstinens	NOUN	afholdenhed
abstinensen	NOUN	afholdenheden
abstinensens	NOUN	afholdenhedens
abstinens'	NOUN	afholdenheds
abstinenssymptom	?	abstinens
abstract	NOUN	abstrakt;resumé
abstractet	NOUN	resuméet;abstraktet
abstractets	NOUN	abstraktets;resuméets
abstracts	NOUN	resuméer;resumés;abstrakter;abstrakts
abstracterne	NOUN	abstrakterne;resuméerne
abstracternes	NOUN	abstrakternes;resuméernes
abstracter	NOUN	resuméer;abstrakter
abstracts'	NOUN	abstrakters;resuméers
abstracters	NOUN	abstrakters;resuméers
abstrakt	NOUN	abstract
abstraktet	NOUN	abstractet
abstraktets	NOUN	abstractets
abstrakts	NOUN	abstracts
abstrakterne	NOUN	abstracterne
abstrakternes	NOUN	abstracternes
